"screen_name"	"text"	"favorite_count"	"retweet_followers_count"	"retweet_count"	"created_at"	"termo"	"url"
"waniapalis"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 19:28:37	"@marciofrancasp"	"https://twitter.com/waniapalis/status/1232749327874957319"
"igncio_silva"	"@Pattyy_Ribeiro @jdoriajr @marciofrancasp Noooo 🤣"	1	NA	0	2020-02-26 18:33:27	"@marciofrancasp"	"https://twitter.com/igncio_silva/status/1232735445554995200"
"Porfirioribas"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 18:11:24	"@marciofrancasp"	"https://twitter.com/Porfirioribas/status/1232729892539772929"
"L40Lavs"	"@joicehasselmann e gestão Dória  ligados pela Nevro empresa do Marido da Deputada que está sendo investigada pelo MP contrato firmado logo após 2º das eleições. A verdade sempre aparece. @marciofrancasp"	0	NA	0	2020-02-26 17:47:45	"@marciofrancasp"	"https://twitter.com/L40Lavs/status/1232723942122672128"
"maredisa"	"@DouglasGarcia @marciofrancasp
Márcio França, me perdoe por não ter acreditado em você. Espero poder me redimir."	0	NA	0	2020-02-26 16:42:23	"@marciofrancasp"	"https://twitter.com/maredisa/status/1232707493689724928"
"neuci_cavassani"	"@marciofrancasp Mais que perfeito caríssimo Márcio. TJ sempre"	0	NA	0	2020-02-26 15:30:57	"@marciofrancasp"	"https://twitter.com/neuci_cavassani/status/1232689514486861826"
"Marco01696871"	"@RizethJ #EuApoioBolsonaro , jornalista militante, ofende as pessoas procurando desqualificar quem não compactua com a corrupção de esquerda , com as manobras da câmara . Ela e @jdoriajr se merecem , e quem melhor definiu o governador foi @marciofrancasp . Esperem 2022 p/perder !"	0	NA	0	2020-02-26 15:00:18	"@marciofrancasp"	"https://twitter.com/Marco01696871/status/1232681800968830976"
"SREricsou"	"Nós que apoiamos o PR @jairbolsonaro ele tem sim que aponhar seus eleitores ou o senhor não apoia seus eleitores por exemplo eu que votei no senhor e já estou arrependindo senhor @jdoriajr ante eu tivesse votado no meio pestista @marciofrancasp https://t.co/NId3JVkThZ"	0	NA	0	2020-02-26 14:23:41	"@marciofrancasp"	"https://twitter.com/SREricsou/status/1232672588171747328"
"cavalhari"	"@marciofrancasp Esperamos o senhor , lutando ao nosso lado em breve com a verdade dos fatos e nos ajudando a conduzir com serenidade a educação com todo respeito e carinho que ela merece ! Não desista !"	0	NA	0	2020-02-26 14:14:05	"@marciofrancasp"	"https://twitter.com/cavalhari/status/1232670170105163776"
"mariade93250811"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 13:52:01	"@marciofrancasp"	"https://twitter.com/mariade93250811/status/1232664619245850624"
